COUNTY,TOTAL_PRESCRIPTIONS,TOTAL_PRESCRIPTION_COST,TOTAL_PRESCRIPTIONS_PREBIRTHING_EVENT,PRESCRIPTION_COST_PREBIRTHING_EVENT,PREBIRTHING_MEDIAN_COST,TOTAL_PRESCRIPTIONS_POSTBIRTHING_EVENT,PRESCRIPTION_COST_POSTBIRTHING_EVENT,POSTBIRTHING_MEDIAN_COST
ADAMS       ,1049,59186.28,438,19890.24,10.99,611,39296.04,12.1
ALLEN       ,42583,2854998.47,22632,1285069.73,10.26,19951,1569928.74,10.12
BARTHOLOMEW ,5224,432813.17,2418,174045.85,10.66,2806,258767.32,12.08
CASS        ,2591,251962.37,983,67331.58,12.07,1608,184630.79,14
CLARK       ,5976,463353.97,3949,286886.06,11.38,2027,176467.91,11.99
CLAY        ,3277,219530.05,1394,70984.79,10.26,1883,148545.26,10.99
CLINTON     ,2926,283417.11,1617,98002.9,10.69,1309,185414.21,12.85
DAVIESS     ,2065,132847.8,1047,52990.58,9,1018,79857.22,12.54
DEARBORN    ,1692,163894.68,887,103377.19,10.2,805,60517.49,11.99
DECATUR     ,1100,71245.86,521,19819.1,13.21,579,51426.76,16.92
DEKALB      ,3953,507521.24,2802,409246.8,13.71,1151,98274.44,12.5
DELAWARE    ,14239,944082.47,7543,456195.01,11.17,6696,487887.46,10.36
DUBOIS      ,5192,790644.81,1995,163066.53,10.26,3197,627578.28,18.17
ELKHART     ,17412,1520578.58,8718,643515.95,11.81,8694,877062.63,10.26
FAYETTE     ,2760,163348.21,1227,76600.82,11.3,1533,86747.39,10.58
FLOYD       ,4863,487404.34,2463,234973.33,11.56,2400,252431.01,14.72
FRANKLIN    ,1210,66110.87,639,32385.3,14.06,571,33725.57,10.66
GIBSON      ,6815,941751.12,2581,227862.64,13.41,4234,713888.48,23.49
GRANT       ,7134,548428.32,5032,363828.69,9.33,2102,184599.63,9.9
HAMILTON    ,7145,675750.07,3116,212258.66,11.18,4029,463491.41,11.71
HANCOCK     ,4186,416958.2,2352,216273.23,13.71,1834,200684.97,15.66
HARRISON    ,4337,259314.23,2755,152076.87,13.21,1582,107237.36,11.99
HENDRICKS   ,3941,435110.19,2547,205245.9,11.54,1394,229864.29,11.03
HENRY       ,4711,708747.12,2262,322426.54,10.66,2449,386320.58,10.26
HOWARD      ,9233,903964.49,4264,397590.35,12.74,4969,506374.14,13.88
HUNTINGTON  ,3340,386096.42,1788,126068.2,10.99,1552,260028.22,10.66
JACKSON     ,3928,322545.84,1776,102273.2,10.69,2152,220272.64,11.21
JASPER      ,1488,181622.26,777,40131.56,13.21,711,141490.7,14.18
JAY         ,2177,122386.02,1157,56813.3,11.02,1020,65572.72,9.66
JEFFERSON   ,6859,390066.44,5051,141485.07,12.62,1808,248581.37,10.34
JENNINGS    ,3871,241872.06,1912,126969.96,11.63,1959,114902.1,14.02
JOHNSON     ,10117,795065.54,5004,292930.31,11.84,5113,502135.23,12.79
KNOX        ,10463,861188.57,5233,468325.5,11.52,5230,392863.07,13.42
KOSCIUSKO   ,4544,252303.57,2434,104643.48,11.04,2110,147660.09,10
LAKE        ,49398,3657103.09,26848,1378754.08,10.26,22550,2278349.01,12.65
LAPORTE     ,12008,955026.68,7536,407873.16,11.02,4472,547153.52,10.58
LAWRENCE    ,6295,364411.7,4266,223857.58,8.21,2029,140554.12,12.24
MADISON     ,13751,1079544.66,7737,530210.65,10.58,6014,549334.01,12.6
MARION      ,133030,9841401.65,74286,4350958.29,10.54,58744,5490443.36,12.15
MARSHALL    ,2167,159082.38,1299,89604.34,9.6,868,69478.04,14.02
MIAMI       ,5267,395792.43,2599,134668.42,9.53,2668,261124.01,10.34
MONROE      ,6942,431257.14,3802,181326.57,10.26,3140,249930.57,10.98
MONTGOMERY  ,2576,172519.81,969,56939.79,11.59,1607,115580.02,11.18
MORGAN      ,6044,368890.62,2739,130685.29,10.66,3305,238205.33,12.65
NOBLE       ,4750,305130.76,2463,174408.13,10,2287,130722.63,10.4
ORANGE      ,2904,200401.38,1460,85965.9,12.61,1444,114435.48,12.65
PORTER      ,6575,426333.85,3437,209001.31,13.97,3138,217332.54,12.1
PUTNAM      ,2562,174738.64,1268,66445.91,10.58,1294,108292.73,12.45
RANDOLPH    ,2052,300202.04,991,141199.09,13.08,1061,159002.95,14.07
RIPLEY      ,1602,86328.76,706,29995.34,13.74,896,56333.42,16.26
SCOTT       ,1644,86281.78,1008,36924.33,10.26,636,49357.45,14.98
SHELBY      ,4607,409343.14,1929,142856.5,11.77,2678,266486.64,13.64
ST. JOSEPH  ,21830,2008052.01,12272,959577.8,12.25,9558,1048474.21,10.06
STEUBEN     ,2323,209477.97,1081,75875.04,9.95,1242,133602.93,11.63
TIPPECANOE  ,9199,532045.66,5063,235840.48,11.45,4136,296205.18,11.08
VANDERBURGH ,41920,4535867.17,23421,2747102.37,13.74,18499,1788764.8,16.22
VIGO        ,11655,695104.82,7558,352715.05,8.35,4097,342389.77,10.78
WARRICK     ,4163,293156.68,2803,198113.87,11.03,1360,95042.81,12.89
WASHINGTON  ,2585,179144.05,1153,66764.85,11.54,1432,112379.2,14.63
WAYNE       ,9269,838312.97,3883,229482.73,10.58,5386,608830.24,13.74
WHITE       ,1116,83121.4,450,18444.5,13.23,666,64676.9,14.71