COUNTY,RECIPIENTS
ADAMS       ,45
ALLEN       ,955
BARTHOLOMEW ,153
BLACKFORD   ,32
BOONE       ,59
CARROLL     ,26
CASS        ,101
CLARK       ,206
CLAY        ,91
CLINTON     ,50
DAVIESS     ,55
DEARBORN    ,68
DECATUR     ,50
DEKALB      ,70
DELAWARE    ,218
DUBOIS      ,51
ELKHART     ,564
FAYETTE     ,60
FLOYD       ,109
FOUNTAIN    ,33
FRANKLIN    ,21
FULTON      ,23
GIBSON      ,89
GRANT       ,169
GREENE      ,51
HAMILTON    ,121
HANCOCK     ,65
HARRISON    ,42
HENDRICKS   ,156
HENRY       ,77
HOWARD      ,136
HUNTINGTON  ,90
JACKSON     ,97
JASPER      ,68
JAY         ,44
JEFFERSON   ,60
JENNINGS    ,56
JOHNSON     ,210
KNOX        ,61
KOSCIUSKO   ,143
LAGRANGE    ,41
LAKE        ,861
LAPORTE     ,314
LAWRENCE    ,81
MADISON     ,321
MARION      ,2641
MARSHALL    ,83
MIAMI       ,63
MONROE      ,124
MONTGOMERY  ,96
MORGAN      ,113
NOBLE       ,76
ORANGE      ,36
OWEN        ,31
PARKE       ,40
PERRY       ,39
PORTER      ,160
POSEY       ,55
PUTNAM      ,64
RANDOLPH    ,40
RIPLEY      ,35
RUSH        ,28
SCOTT       ,61
SHELBY      ,79
SPENCER     ,42
ST. JOSEPH  ,585
STARKE      ,52
STEUBEN     ,61
SULLIVAN    ,46
TIPPECANOE  ,360
VANDERBURGH ,684
VERMILLION  ,61
VIGO        ,368
WABASH      ,55
WARRICK     ,102
WASHINGTON  ,51
WAYNE       ,169
WELLS       ,43
WHITE       ,41
WHITLEY     ,49